date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2028%20May%202019%2018:01:59%20GMT	https://web.archive.org/web/20180820194539im_/http://codestarframework.com/assets/images/logo.png	C:/My%20Web%20Sites/cs%20doc/web.archive.org/web/20180820194539im_/http_/codestarframework.com/assets/images/logo.png	(from https://web.archive.org/web/20180820194539/http://codestarframework.com/documentation/)
00:01:58	3727/3727	---MC-	200	added ('OK')	image/png	date:Tue,%2028%20May%202019%2018:01:59%20GMT	https://web.archive.org/web/20181016054309im_/http://codestarframework.com/assets/images/logo.png	C:/My%20Web%20Sites/cs%20doc/web.archive.org/web/20181016054309im_/http_/codestarframework.com/assets/images/logo.png	(from https://web.archive.org/web/20180820194539/http://codestarframework.com/documentation/)
00:01:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2028%20May%202019%2018:02:00%20GMT	https://web.archive.org/web/20180820194539im_/http://s3.codestarthemes.com/route/userbox/route-preview-promo.png	C:/My%20Web%20Sites/cs%20doc/web.archive.org/web/20180820194539im_/http_/s3.codestarthemes.com/route/userbox/route-preview-promo.png	(from https://web.archive.org/web/20180820194539/http://codestarframework.com/documentation/)
00:01:59	17899/17899	---MC-	200	added ('OK')	image/png	date:Tue,%2028%20May%202019%2018:02:00%20GMT	https://web.archive.org/web/20180420163351im_/http://s3.codestarthemes.com/route/userbox/route-preview-promo.png	C:/My%20Web%20Sites/cs%20doc/web.archive.org/web/20180420163351im_/http_/s3.codestarthemes.com/route/userbox/route-preview-promo.png	(from https://web.archive.org/web/20180820194539/http://codestarframework.com/documentation/)
00:01:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2028%20May%202019%2018:02:01%20GMT	https://web.archive.org/web/20180820194539js_/https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/My%20Web%20Sites/cs%20doc/web.archive.org/web/20180820194539js_/https_/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://web.archive.org/web/20180820194539/http://codestarframework.com/documentation/)
00:02:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2028%20May%202019%2018:02:02%20GMT	https://web.archive.org/web/20180820194539js_/http://codestarframework.com/assets/js/all.js	C:/My%20Web%20Sites/cs%20doc/web.archive.org/web/20180820194539js_/http_/codestarframework.com/assets/js/all.js	(from https://web.archive.org/web/20180820194539/http://codestarframework.com/documentation/)
00:02:00	96960/96960	---M--	200	added ('OK')	text/javascript	date:Tue,%2028%20May%202019%2018:02:01%20GMT	https://web.archive.org/web/20180820194711js_/https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/My%20Web%20Sites/cs%20doc/web.archive.org/web/20180820194711js_/https_/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://web.archive.org/web/20180820194539/http://codestarframework.com/documentation/)
00:02:01	35/35	---M--	200	added ('OK')	image/gif	etag:%225702ee2b-23%22	http://analytics.archive.org/0.gif	C:/My%20Web%20Sites/cs%20doc/analytics.archive.org/0.gif	(from http://archive.org/includes/analytics.js?v=cf34f82)
00:02:01	37988/37988	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2028%20May%202019%2018:02:02%20GMT	https://web.archive.org/web/20181109001816js_/http://codestarframework.com/assets/js/all.js	C:/My%20Web%20Sites/cs%20doc/web.archive.org/web/20181109001816js_/http_/codestarframework.com/assets/js/all.js	(from https://web.archive.org/web/20180820194539/http://codestarframework.com/documentation/)
00:02:02	7260/7260	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1558557861-7260-369492983%22	https://web.archive.org/_static/css/record.css	C:/My%20Web%20Sites/cs%20doc/web.archive.org/_static/css/record.css	(from https://web.archive.org/_static/css/banner-styles.css)
